,files,agency_name,provision
31,108-584 H.txt,    For Animal and Plant Health Inspection Service,"    For Animal and Plant Health Inspection Service, Buildings and Facilities, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and the same as the budget request."
32,108-584 H.txt,    For Marketing Services of the Agricultural Marketing Service,"    For Marketing Services of the Agricultural Marketing Service, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee does not provide the increase requested for a new commodity purchasing computer system in this account. That is provided under the Section  account. The Committee recommendation does not include the proposed information technology cuts, nor the increase in funding requested for transportation analysis.    The Committee provides  for activities relating to Organic Standards."
33,108-584 H.txt,    For a Limitation on Administrative Expenses of the Agricultural Marketing Service,"    For a Limitation on Administrative Expenses of the Agricultural Marketing Service, the Committee provides  an increase of  above the amount available for fiscal year  and the same as the budget request."
34,108-584 H.txt,    For the Marketing Agreements and Orders Program,"    For the Marketing Agreements and Orders Program, the Committee provides a transfer from section  funds of  an increase of  above the amount available for fiscal year  and the same as the budget request.    The Committee provides  in funding for the Web-based Supply Chain Management System in this account, under Commodity Purchase Services, rather than as requested in the Marketing Services account. Administrative expenses to support Section  purposes have been expressly allowed since fiscal year . The Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act for fiscal year  stated that funds available under Section  ``shall be used only for commodity program expenses as authorized therein, and other related expenses''. The Committee includes the same language in the fiscal year  bill. Accordingly, the Agriculture Marketing Service may use Section  funds to support computer systems, including a web-based purchasing system, to the extent that such systems relate to program activities authorized by Section . In reviewing the documentation provided with the President's budget request, it is clear that the proposed Web-based Supply Chain Management System is integral to the activities authorized by Section  and funding for the system should be provided in this account.    The Committee is aware of the recent pricing of cranberries below the cost of production that has negatively impacted cranberry producers in growing regions across the country. In addition to marketing restrictions imposed by the Cranberry Marketing Committee, Congress has made both direct payments to growers and directed Section  purchases by the USDA to stabilize the market. Given the anticipated industry inventory of . million barrels during the coming fiscal year, the Committee expects USDA to buy at a minimum the levels equal to historic averages over the past two years, about - million pounds, to prevent market instability.    In the utilization of Section  funds for USDA commodity purchase programs, USDA shall not exclude or discriminate against Farmer-owned cooperatives based on any preference or set asides."
35,108-584 H.txt,    For Payments to States and Possessions,"    For Payments to States and Possessions, the Committee provides an appropriation of  a decrease of  below the amount available for fiscal year , and the same as the budget request."
36,108-584 H.txt,    For Grain Inspection,"    For Grain Inspection, Packers and Stockyards Administration, the Committee provides  an increase  over the amount available for fiscal year , and a decrease of  below the budget request. The amount provided includes a  increase for critical information technology needs at GIPSA.    The recommendation does not include  in standardization user fees or  in Packers and Stockyards licensing fees, as proposed in the President's budget. These user fees are not currently authorized in law. The Committee does not recommend establishing such fees in annual appropriations acts, but will consider such fees should they achieve authorization.    In order to further the Federal Grain Inspection Service mission to facilitate the marketing of U.S. grain, the Committee urges the Secretary to incorporate the tracking system technological advancements of EDAT in the development of a process verification service for grains.    Product Verification Protocols Pilot.--The Committee understands that the Secretary has undertaken a product verification protocols pilot, in conjunction with the Missouri, Illinois and Iowa Corn Growers Associations, to establish controls for regulated seed varieties and to augment grain marketing. The Committee provides  to continue this pilot program with the growers associations for development of production protocols.    Packer Ownership.--The Committee continues to be concerned about the economic impacts of packer control, feeding, or ownership on local communities. The Committee notes that it provided funding for a comprehensive, objective study of the issues surrounding a ban on packer ownership in the fiscal year  appropriations Act. The Committee expects the Department to provide the Committee with a comprehensive update on the study by January , ."
37,108-584 H.txt,    The Committee includes a limitation on inspection and weighing services expenses of  the same as the amount available for fiscal year  and the same as the budget request. The bill includes authority to exceed by  percent the limitation on inspection and weighing services with notification to the Committees on Appropriations. This allows for flexibility if export activities require additional supervision and oversight or other uncontrollable factors occur.,    The Committee includes a limitation on inspection and weighing services expenses of  the same as the amount available for fiscal year  and the same as the budget request. The bill includes authority to exceed by  percent the limitation on inspection and weighing services with notification to the Committees on Appropriations. This allows for flexibility if export activities require additional supervision and oversight or other uncontrollable factors occur.
38,108-584 H.txt,    For the Office of the Under Secretary for Food Safety,"    For the Office of the Under Secretary for Food Safety, the Committee provides an appropriation of  the same as the amount provided for fiscal year  and a decrease of  below the budget request."
39,108-584 H.txt,    For the Food Safety and Inspection Service,"    For the Food Safety and Inspection Service, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The recommendation does not include  in user fees to be paid by the industry for Federal inspections, as proposed in the President's budget. These user fees are not currently authorized in law. The Committee does not recommend establishing such fees in annual appropriations acts, but will consider such fees should they achieve authorization.    The amount provided for the Food Safety and Inspection Service includes the full increases requested, as follows:  for frontline inspectors and humane slaughter enforcement,  for BSE surveillance,  for inspector training, and  for increased pay costs. The Committee recommendation includes a cut of  in information technology savings as requested in the budget.    The Committee provides an increase of  for food defense activities, including  for biosurveillance,  for the Food Emergency Response Network (FERN),  for FERN data systems support, and  for laboratory equipment and additional training.    The Committee provides the full amount requested,  for Codex Alimentarius activities, which are critical for maintaining food safety worldwide and facilitating international trade.    The Committee provides the agency with  the same as the fiscal year  level, solely to outsource microbiological testing with the goal of establishing a continuous baseline program for risk assessment and performance measurement. The Committee expects the Department to outsource baseline testing to private American Association for Laboratory Accreditation (ALA) International Standards Organization (ISO) approved laboratories. The Committee directs the Department to report on the progress of this initiative within  days of enactment.    Recall improvement.--The Committee directs FSIS to list, on all FSIS recall press releases, the website address of the manufacturer of the recalled product--if any--and, when it will assist consumers and the media in identifying it, a photograph of the recalled product and/or product label. The Committee also directs FSIS to ask the manufacturer to voluntarily provide information on retail outlets of the product for inclusion on the FSIS press release."
40,108-584 H.txt,    For the Office of the Under Secretary for Farm and Foreign Agricultural Services,"    For the Office of the Under Secretary for Farm and Foreign Agricultural Services, the Committee provides an appropriation of  the same as the amount available for fiscal year  and a decrease of  below the budget request."
41,108-584 H.txt,    For Salaries and Expenses of the Farm Service Agency (FSA),"    For Salaries and Expenses of the Farm Service Agency (FSA), the Committee provides an appropriation of  and transfers from other accounts of  for a total program level of . This is an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee expects the Secretary of Agriculture to promulgate regulations for the Conservation Reserve Program that defines ``person'', for the purposes of payment limitations for rental payments, in a manner that prevents separate organizations who are controlled by a parent organization from being identified as separate ``persons''.    The Committee is concerned about any Departmental plans to close FSA county offices at a time when the FSA office network is essential to helping farmers address critical economic and environmental issues. The Committee reiterates its strong view that no county office closure or consolidation should occur except in those locations for which closures and relocations are supported by rigorous analysis to ensure actions are cost effective, and that services available to the public will not be reduced.    The Committee provides that  shall be made available for payments to producers who, until September , , had land enrolled in the conservation reserve program in an area that during fiscal year  was omitted from the Cheney Lake Watershed conservation priority area, and whose offers were not accepted during fiscal year , in amounts equivalent to what the producer would have earned in conservation reserve program rental payments during fiscal year  had the offer been accepted."
42,108-584 H.txt,    For State Mediation Grants,"    For State Mediation Grants, the Committee provides an appropriation of  an increase of  above the amount available in fiscal year  and the same as the budget request."
43,108-584 H.txt,    For the Dairy Indemnity Program,"    For the Dairy Indemnity Program, the Committee provides an appropriation of  the same as the amount available for fiscal year  and the same as the budget request."
44,108-584 H.txt,    Approximate loan levels provided by the Committee for fiscal year  for the Agricultural Credit Insurance Fund Programs are:  for farm ownership loans,"    Approximate loan levels provided by the Committee for fiscal year  for the Agricultural Credit Insurance Fund Programs are:  for farm ownership loans, of which  is for direct loans and  is for guaranteed loans;  for farm operating loans, of which  is for direct loans,  is for guaranteed subsidized loans, and  is for guaranteed unsubsidized loans;  for Indian tribe land acquisition loans; and  for boll weevil eradication loans."
45,108-584 H.txt,    For the Risk Management Agency,"    For the Risk Management Agency, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee directs the Risk Management Agency to develop a Gross Revenue Income Protection program for sorghum, at coverage rates equal to other feed grains.    The  Farm Bill drastically changed the Peanut Program. The per-acre insurance guarantee was reduced to reflect the lower loan rate required by the Bill. This rate is below the cost of production and is not an effective risk management tool for peanut producers. Most peanuts in the U.S. are now marketed through a contract between the Sheller and the Peanut Farmer at a price higher than the loan rate. The Committee urges Risk Management Agency to work with the insurance industry to quickly develop an insurance product that will allow the peanut producer to insure peanuts at an amount equal to the contract value of the crop."
46,108-584 H.txt,    For the Federal Crop Insurance Corporation Fund,"    For the Federal Crop Insurance Corporation Fund, the Committee provides an appropriation of such sums as may be necessary (estimated to be  in the President's fiscal year  Budget Request), an increase of  above the amount provided in fiscal year  and the same as the budget request."
47,108-584 H.txt,    For Reimbursement for Net Realized Losses to the Commodity Credit Corporation,"    For Reimbursement for Net Realized Losses to the Commodity Credit Corporation, the Committee provides such sums as may be necessary to reimburse for net realized losses sustained, but not previously reimbursed (estimated to be  in the President's fiscal year  Budget Request), a decrease of  below the amount provided in fiscal year  and the same as the budget request."
48,108-584 H.txt,    For CCC Hazardous Waste Management,"    For CCC Hazardous Waste Management, the Committee provides a limitation of  the same as the amount available for fiscal year  and the same as the budget request."
49,108-584 H.txt,    For the Office of the Under Secretary for Natural Resources and Environment,"    For the Office of the Under Secretary for Natural Resources and Environment, the Committee provides an appropriation of  a decrease of  below the amount available for fiscal year  and a decrease of  below the budget request."
50,108-584 H.txt,    For Conservation Operations,"    For Conservation Operations, the Committee provides an appropriation of  a decrease of  below the amount available for fiscal year  and an increase of  above the budget request. The Committee recommendation includes  for National Headquarters salaries and expenses, as requested.     Misuse of discretionary funds.--The Committee is concerned about the misuse of discretionary conservation technical assistance funds. The fiscal year  instructions to State Conservationists from the Chief of NRCS, which were submitted for the record, state, ``Your fiscal and performance responsibilities include . . . Assuring that all planning that occurs before the approval of an application for Farm Bill conservation programs is charged to Conservation Technical Assistance (CTA), but charge the planning that occurs after the application has been approved (contract planning) to the benefiting program . . .''. This instruction is in clear violation of the fiscal year  Appropriations Act, P.L. -, which directs that none of the funds made available to NRCS may be used to provide technical assistance ``with respect to programs listed in section (a) of the Food Security Act of .'' The Office of the General Counsel has opined that the appropriations language is clear in its prohibition of the use of discretionary CTA funds for Farm Bill conservation programs. The NRCS is directed to explain its actions to the Committee immediately and to provide the Committee with a detailed accounting of all CTA funds that were used for Farm Bill conservation programs at any point in fiscal years  or , including the amounts and dates of any charges made to CTA during the planning process before application approval.    State funding allocations.--The Committee is concerned that funding allocations to the States are being reduced in proportion to Congressional earmarks funded in the Conservation Operations account. The Committee directs the Chief of the NRCS, in making the fiscal year  Conservation Operations funding allocations to the States, to treat Congressional earmarks as additions to the States' funding allocation. The Committee directs the NRCS to provide a report to the Committee on Appropriations, not later than  days after the enactment of this Act, including the following: fiscal year  Conservation Operations allocation by State, fiscal year  Conservation Operations allocation by State, the fiscal year  Congressional earmarks by State, and the total conservation operations allocation by State.    Grazing Lands Conservation Initiative.--The Committee includes legislative language that provides  for the Grazing Lands Conservation Initiative.    Animal Feeding Operations Pilot Projects.--The Committee provides  for the continued implementation of pilot projects for innovative technology systems resulting in a  percent reduction in nutrients of wastewater discharged by animal feeding operations to be managed by Farm Pilot Project Coordination, Inc. The Secretary is directed to release these funds after submitting a report to the Committees on Appropriations that a satisfactory cooperative agreement between the NRCS and Farm Pilot Project Coordination, Inc. has been consummated.    Edwards Aquifer.--The Committee encourages the Agency to provide technical and financial assistance to the Edwards Aquifer Authority and San Antonio Water Systems regarding plugging of wells to address pollution concerns.    Sage grouse.--The Committee encourages NRCS to address sage grouse conservation projects on private and public lands through the Wildlife Habitat Incentives Program (WHIP) at a minimum of .    Source Water Protection Initiative.--NRCS is strongly encouraged to provide support and assistance to the local watershed associations in Ohio, Indiana, and Missouri working on the Source Water Protection Initiative.    Assistance to Puerto Rico.--The Committee encourages the NRCS to provide assistance for the preservation and improvement of water and soil resources in Cano Tiburones, Puerto Rico.    Wetlands restoration.--The Committee requests that the NRCS consider funding for the Meadowlands, New Jersey, restoration project through the Wetlands Reserve Program (WRP).    Funding for fiscal year  projects is not continued in fiscal year  unless specifically mentioned in this report. The following funds are directed to be used in cooperative agreements, continued with the same cooperator entities as in the fiscal year  agreements: National Water Management Center (AR)--; East Valley Conservation District/Santa Ana Watershed Authority (CA) non-native plant removal--; Monterey Bay Sanctuary--; Manatee (FL) Agriculture Reuse System--; Georgia Soil and Water Conservation Commission Cooperative Agreement within which the Committee expects the Commission to work with the Flint River Agricultural Water Conservation Initiative--; PMC for Native Plants to clean up the Island of Kahoolawe (HI)--; Molokai (HI) Agriculture Community Committee--; Idaho One Plan--; Trees Forever Program (IL)--; Illinois River Basin-- through EQIP; Hungry Canyon/Loess Hills Erosion Control/Western Iowa--; Trees Forever Program (IA)--; CEMSA w/Iowa Soybean Association--; Technical assistance to providing grants to Soil Conservation Districts in Kentucky--; Dairy waste remediation-Lake Ponchartrain (LA) Basin--; Chesapeake Bay activities--; Weed It Now-Taconic Mountains (MA/NY/CT)--; Choctaw County (MS) feasibility study for surface impoundment--; Upper White River Water Quality Project Office in southern Missouri--; Lake Tahoe Basin Soil Conservation Project (NV/CA)--; State conservation cost share program (NJ)--; Pastureland Management/Rotational Grazing (NY)--; Best management practices/Skaneateles and Owasco Watersheds (NY)--; Address non-point pollution in Onondaga Lake Watershed (NY)--; Phase II/Watershed Agriculture Council in Walton (NY)-- of which,  is for monitoring the easements purchased by the Council's Whole Farm Easement Program; Technical assistance to livestock/poultry industry (NC)--; Maumee Watershed Hydrological Study and Flood Mitigation Plan (OH)--; Oregon Garden Silverton (OR)--; Study to characterize land use change while preserving natural resources in cooperation with Clemson University (SC)--; Bexar, Medina, Uvalde Counties irrigation in Edwards Aquifer (TX)--; Field office telecommunications pilot program/advanced soil survey methods (TX)--; Leon River restoration project (TX)--; Range vegetation pilot project, Ft. Hood (TX)--; a cooperative agreement with the Texas Water Resources Institute to implement a watershed protection plan for Tarrant County (TX)--; Walla Walla (WA) watershed alliance--; Design/implement natural stream restoration initiatives (WV)--; Soil survey geographic database in the Mid-Atlantic Highlands (WV)--; Grazing Lands Initiative/Wisconsin Department of Agriculture--; Audubon at Home Pilot Program--; Great Lakes Basin Program for Soil & Erosion Sediment--; Source water protection project to States showing greatest need--; technical assistance to address water quality problems in Sodus Bay Watershed, Wayne County (NY)--; New York State Agriculture and Environmental Management Program--; Community Nutrient Management Facilities (GA)--; Operation Oak Program to restore hardwoods in the South--; Dairy and poultry waste treatment in Suwannee, Dixie, and Lafayette Counties (FL)--; Study to determine the logistics of transportation and coordination of excess nutrient management (AR)--; Long Island (NY) Sound watershed initiative--; Pace University Land Use Law center--; Erosion Control and Stabilization for Hudson River (NY) shoreline--; Basalt and Ground Water protection project (ID)--; Innovative environmental technology program (IN)--; for a cooperative agreement with the Green Institute (FL)--; Lake Okeechobee (FL) Watershed project planning--; projects for nutrient reducing waste treatment systems (FL)--; cooperative agreement with Louisiana State University on effectiveness of agriculture and forestry (LA)--; cooperative agreement with Sand County Foundation (WI)--; Soil survey mapping project (WY)--; and National Fish and Wildlife Foundation Partnerships--.    The Committee provides  for the Grazing Lands Conservation Initiative,  for snow surveys,  for Plant Materials Centers,  for the Soil Surveys Program, and  for pay costs.    The Committee provides  to continue a field office telecommunication and field technology program and to implement advanced soil survey methods and GIS visualization tools in West Texas.    The Committee includes funding for the American Heritage River navigator position on the Hudson River, as requested in the budget."
51,108-584 H.txt,    For Watershed Surveys and Planning,"    For Watershed Surveys and Planning, the Committee provides an appropriation of  an increase of  over the amount available for fiscal year  and an increase of  above the budget request."
52,108-584 H.txt,    For Watershed and Flood Prevention Operations,"    For Watershed and Flood Prevention Operations, the Committee provides an appropriation of  the same as the amount available for fiscal year  and an increase of  above the budget request. Language is included which limits the amount spent on technical assistance to not more than .    The Committee is aware of and expects progress to continue and/or to provide financial/technical assistance on the following projects: the four pilot projects in North Florida related to dairy and poultry cleanup efforts; Little Red River and the Big Slough Watersheds in Arkansas; Martinez  flood detention dam in Bexar County, TX; Potomac South River Watershed, Stoney Creek, Robinson Hollow, Toms Branch and Inch Branch dams (VA); Upper Black Vermillion Watershed Site  (KS); Lower Hamakua Ditch Watershed (HI); Upcountry Maui Watershed (HI); Elm Creek Watershed, Floodwater Structure Number A (TX); Neshaminy Creek Watershed Project, Bucks County (PA); Indian Creek (PA); Bayou Bourbeux Watershed (LA); Town Creek in Flowood (MS); Rockhouse Creek in Leslie County (KY); Kress Creek, DuPage County, (IL); Elm Creek (TX); Upper Walnut North Watershed Project  (KS); Marrowbone Creek Dam, Henry County (VA); Bayou Meto (AR) Project; Upper Red Rock Creek Watershed, Noble County (OK) and Big Cypress Reservation Watershed (FL) as part of Everglades restoration."
53,108-584 H.txt,    For the Watershed Rehabilitation Program,"    For the Watershed Rehabilitation Program, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and an increase of  above the budget request."
54,108-584 H.txt,    For Resource Conservation and Development,"    For Resource Conservation and Development, the Committee provides an appropriation of  the same as the amount available for fiscal year  and an increase of  above the budget request.    The Committee has included bill language related to a cooperative agreement with a national association.    The Committee has included bill language limiting the amount that can be spent at national headquarters from this account."
55,108-584 H.txt,    The Committee does not concur with the budget request for a farm bill technical assistance account.,    The Committee does not concur with the budget request for a farm bill technical assistance account.
56,108-584 H.txt,    For the Office of the Under Secretary for Rural Development,"    For the Office of the Under Secretary for Rural Development, the Committee provides an appropriation of  the same as the amount available for fiscal year  and a decrease of  below the budget request.    The Committee directs the Under Secretary to give consideration to the following projects or organizations requesting financial and/or technical assistance, and grants and/or loans made available under the Rural Development mission area: Hardin County, Iowa Historic Barn Preservation Commission (IA); Martinsville (VA) West Church Street Commercial Corridor Revitalization Project; Halifax County (VA) Industrial Development Authority; water and sewer projects in the Town of Ulster (NY) for improvements to the East Kingston Water District; County Animal Shelter, Cherokee County Commission (AL); revitalizing downtown City of Tuskegee (AL); upgrade to Cherokee County (AL) Commission courthouse; to build a city hall complex, Smith Station (AL); courthouse construction for Clay County (AL) Commission; Feasibility of and plans for Regional Farmers Market, Loudoun County (VA); Technical assistance and best practices outreach for Loudoun County (VA); Marketing outreach and support for specific agricultural sectors, Loudoun County (VA); Ellwood City (PA) Area Sewage Treatment Plant; Rural Dialysis Initiative (PA); Butts County (GA) Thermal Treatment Facility; West Point Service Area Bummerville Community (CA); Central Valley (CA) World Trade Project; Galt (CA) Future Farmers of America Center; Cable replacement, Fox Islands (ME) Electrical Cooperative; University of Maine (ME) Rural Community Innovation Center; Children's Hospital of the King's Daughter (NC); North Carolina (NC) Water  Initiative; Nuese (NC) Regional Water Supply; Calexico Telemedicine Center (CA); Imperial Valley (CA) Sugarcane/Renewable Energy/Ethanol; Environmental Technology Business Park (CA); Desert Farming Institute (CA); Neighborhood House of Calexico Youth Center (CA); Telework Consortium in Herndon (VA); Virginia (VA) Horse Center; Online Louisiana (LA); Morgan City (LA) water and wastewater improvements; Montegut (LA) water and wastewater improvements; St. Martin Parish upgrade water and wastewater facilities (LA); Iberia Parish water and wastewater renovation (LA); Fiber Optic Connector Project (NC); New England (ME) Deaf Education Broadband Initiative; Lake Erie (PA) College of Osteopathic Medicine--Link to Learn; GED on TV, WQLN, Public Broadcasting (PA); Big Butler Fair, Emergency Notification Alarm (PA); Long Lake (NY) Distance Learning Initiative; SUNY Morrisville's Anaerobic Digester Project (NY); (AL) Rural Health Information Network, USA; Computed Radiography, Chesapeake (VA); Federation of Southern Cooperatives Land Assistance Fund, East Point (GA); Federation of Southern Cooperatives, Albany (GA), East Baker Historical and st Century Community Corporation; Heritage Foundation/UJAMAA, Thomasville (GA); Springfield (MA) Public Market; Quinebaug Shetucket Heritage Corridor, Inc. (MA); Northampton (MA) Fairgrounds; Health Care Cooperative Purchasing Alliance Demo (MN); extend the Village of L' Anse water and sewer infrastructure, L' Anse Township (MI); community facilities upgrade for City of Menominee (MI); Northern Initiatives (MI); Northern Lakes Economic Alliance (MI); Munising (MI) water and sewer improvements; Kauai (HI) Sugarcane Biomass to Ethanol Project; Maui (HI) Community College SkyBridge; Health Care Cooperative Purchasing Alliance--Stop Loss Fund (WI); Armstrong Creek (WI); Oconto Harbor (WI) Dredging; start up and technical assistance for Health Care Cooperative Purchasing Alliance (WI); Hi-Desert Regional Neonatal Medical Center (CA); Lake Arrowhead (CA) Communities Services District; State of Vermont's (VT) Agritourism Website; Caguas (PR) Municipal Water Supply System Improvements; Bawcomville (LA) Stormwater Pumping Station; Rural Heritage Fair Property acquisition (WA); Raymond Carriage Museum Expansion--Raymond (WA) Riverfront Park; Morton (WA) Theater Conversion; Livingston Parish (LA) Alternative Fuel Plant; Southern University Center for Community and Economic Development (LA); (NH) Water Resources Management Plan; Sweet Potato Farmers Storage and Outreach Project (AR); University Extension Building, Greene County (MO); South Jersey (NJ) Ethanol Plant; Ozone Water Project (AR); Buchanan County (VA) Small Business Incubator; Dickenson County (VA) Kitchen Incubator; Grayson County (VA) Industrial Shell Building; Water Improvement Initiative, Hawthorne (FL); Rural Services Initiative (FL); Hernando County (FL) Fairgrounds; Water and wastewater system upgrades for Luray (VA); Water and wastewater system upgrades for Madison (VA); Water and wastewater system upgrades for Shenandoah (VA); Water and wastewater system upgrades for Stanley (VA); Rappahannock Count (VA) community/economic development; Adrian PSD/Phase V Water Line Extension (WV); Town of Winifrede (WV) Wastewater Project; Camp Sheppard/-H Camp (WV); Mason County Fair (WV); City of Jane Lew (WV) Sewer Plant; Spanish Sustainable Agricultural Education Program (CA); upgrade the facilities at the Farmer's Market in Anderson County (KY); Mercer County (KY) Cooperative Extension; Millennium Park Amphitheater, Danville (KY); St. Croix (VI) Sewer System Repair; City of Florence (SC) Regional Surface Water Treatment; Town of Summerton (SC) water and wastewater system; Berkeley County (SC) Cross Water Project; Demolition of housing, Wilson (OK); Sewer line improvements, Chattanooga (OK); New community building, Cache (OK); Repainting of water tower, Sterling (OK); Construction of water tower, Elgin (OK); Water Works, Environmental Education, City of Hartselle (AL); Madison County (FL) Agricultural Facility; Innovation Center's Micro-Loan Program, Selma (AL); City of Lakeside (OR), Tenmile Lakes Enhancement; City of Coburg (OR) Wastewater system; City of Brownsville (OR), Wastewater improvements; New England Wildlife Center (MA); Ft. Bend County (TX), Fresh Water Supply District #; Herlong (CA) Water and wastewater system, Utilities Cooperative; Spaulding (CA) Wastewater Community Services District; (CA) Central Valley Rural Trade Project; Equestrian Complex in Bosque County (TX); Hardee County (FL) Cattleman's Arena Renovation; Cabarrus Arena Infrastructure Improvement Program (NC); Midwest Livestock Expo Center (OH); Perry County (OH) Rail Line Upgrade; Opal Creek Wilderness and Scenic Recreation Area (OR); Tillamook Log Waste Processing and Pellet Mill (OR); Statewide energy assessment (SD); Statewide economic development assessment (SD); Black Hills (SD) Technology Incubator; SDSU Technology and Business Incubator (SD); Little Milligan Water Project (TN); Lincoln Tail Foundation eCommerce Incubator (IL); Neuse Regional Water and Sewer Authority (NC); Nanticoke (PA) Rural Development Project; Dunmore Borough, Lackawanna County (PA); State's Pride of New York (NY) Program; Skagit County (WA) Fiber Optics Expansion; Rural E-Learning Agricultural Program (KY); Ohio County (KY) Wastewater Treatment Plant; Agritourism Council (KY); Northern Kentucky (KY) Regional Farmer's Market; Springhill (LA) Water system upgrades; Canton (NY) Feasibility Study; Syracuse (NY) University's Public Management and Finance Program; Champlain Watershed Improvement Coalition of New York (NY) Sewer Project in Hamlet of Essex; Wastewater plant rehabilitation and maintenance, Crescent City (FL); Agricultural Museum Construction Project (FL); Aroostook (ME) strategic plan; Universal Public Information Access Project (ME); Rural Community Innovation Center (ME); Public Broadcasting Corporation (ME); Vandalia Heritage Foundation (WV); Stonycreek Initiative (PA); Rail line upgrade in Harrison County (OH); International Agriculture-Center, Tulare (CA); improvements to Farm-to-Market Roads in Tulare (CA); wastewater treatment plant Strathmore Public Utility District (CA); Berkshire Community College long distance learning (MA); Berkshire (MA) Area Healthcare Training Program; expansion of wastewater treatment plant facilities for Village of Ruidoso and Rudoso Downs (NM); Community center for the City of Belen (NM); Senior Center for the Village of Tularosa (NM); water system improvement for the City of Carrizozo (NM); North Ditch irrigation system rehabilitation for the Pueblos of Laguna and Acoma (NM); Blue Valley Treatment and Fish Culture Facility (PA); Clarion University Biotechnology Business Development Center (PA); Health Care Cooperative Purchasing Alliance (WI); Minnesota (MN) Rural Living/Pioneer Public Television; Community Design for Revitalization of Small Towns, Mississippi State University (MS); st Century Vineyard Laboratory, Fredonia (NY); Chautauqua County (NY) Fair Equestrian Center; Western New York Equestrian Center, Hamburg (NY); Infrastructure Improvements in Chadwick Bay (NY); Rural Health Outreach, St. Mary's Hospital (WV); Eloy Community Center (AZ); Canutillo Agricultural Science and Research Center (TX); Rural water system in Dallas County (AR); Rural Manufacturing Retention Program (IL); Rural Manufacturing Initiative (PA); Coventry Lake Sewers Project (CT); Monmouth Girl Scouts Riding Facility (NJ); Water system improvements for City of Ola (AR); Clio Wastewater Treatment Plant Upgrade (SC); Chesterfield County (SC) Industrial Park Development; Wastewater line construction for Dillon County (SC); construction of a new water treatment plant in the Village of Racine (OH); new water treatment system for Toronto (OH); complete a water line extension project for Meigs (OH); extend the water lines in the village of Powhatan Point, Belmont (OH); upgrades to the Sewer Lift Station in Centerville (OH); Buncombe County (NC) construction of a new Emergency Operating Center; renovate an existing building for a Graham County (NC) Emergency Services Facility; Water Remediation and Preservation Project, Highlands (NC); Longtown Community Volunteer Fire Facility (MS); expansion of Child Development Center, Mississippi Valley State University (MS); Laytonville (CA) Wastewater Treatment Project; Cave Creek Watershed and Flood Prevention Program (CA); West Company, Ukiah (CA); Phillipsburg (OH) Sanitary Sewer Force Main Connection; Rapides Parish (LA) water treatment plant on the Red River; Ouachita Parish (LA) wastewater and water treatment improvements; Lafourche Parish (LA) wastewater and water treatment improvements; St. John the Baptists Parish (LA) drinking water supply improvements; Washington Parish (LA) potable water reservoir; Eastern Oregon University in the development of the Oregon Center for Rural Development and Policy Studies (OR); National Policy Consensus Center at Portland State University (OR); Gilliam County (OR) Columbia Plateau Wheat Quality Initiative Project; Southern Oregon (OR) Education Services District; Happy Canyon Facility Renovation Project (OR); construction of the Native American Gathering Facility at the Pendleton Round-up (OR); Claiborne County (TN) Potable Water Lines; Claiborne County (TN) Water line Extensions/Storage; City of Harrogate (TN) Sewer System; Claiborne County (TN) Potable Water Line Extensions; sewer system for City of Blaine (TN); Murray State Agriculture Resource Diversification (KY); Murray State Animal Health Technology expansion (KY); Tijeras Water System Improvement (NM); Village of Los Lunas (NM) Interceptor Sewer Line; Bernalillo Wastewater Treatment Plant (NM); improve wastewater treatment in the Rexland Acres community (CA); construct agricultural training center at West Hills Community College, Farm of the Future Project (CA); NutriCore NorthEast (PA); OneMap (NC); and, University of South Carolina (SC) Salkehatchie Leadership Institute.    The Committee expects the Under Secretary to approve these projects only when such applications are judged to be meritorious when subject to established review procedures.    The Committee directs Rural Development to provide a grant to the Renewable Fuels Association and the National Corn Growers Association to promote a comprehensive national communications program to heighten consumer awareness and educate stakeholders on ethanol."
57,108-584 H.txt,    For the Rural Community Advancement Program,"    For the Rural Community Advancement Program, the Committee provides an appropriation of  a decrease of  below the amount available for fiscal year  and an increase of  above the budget request.    The following table provides the Committee's recommendations as compared to the budget request:"
58,108-584 H.txt,    For Salaries and Expenses of the Rural Development mission areas,"    For Salaries and Expenses of the Rural Development mission areas, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request."
59,108-584 H.txt,    For the Rural Housing Insurance Fund program account,"    For the Rural Housing Insurance Fund program account, the Committee provides a loan level of  an increase of  above the amount provided in fiscal year  and an increase of  above the budget request.    The following table reflects the loan levels for the Rural Housing Insurance Fund program account:"
60,108-584 H.txt,    For the Rental Assistance Program,"    For the Rental Assistance Program, the Committee provides a program level of  an increase of  above the amount available in fiscal year  and the same amount as the budget request."
61,108-584 H.txt,    For Mutual and Self-Help Housing Grants,"    For Mutual and Self-Help Housing Grants, the Committee provides an appropriation of  an increase of  above the amount available in fiscal year  and the same amount as the budget request."
